date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2017-09-11,35.68,35.8,35.52,35.74,23048780,23048780,0.15,0.421,35.6907,"Sep 11, 17",-0.15147198480531804
2017-09-12,35.96,36.43,35.82,36.26,28285303,28285303,0.52,1.455,36.178,"Sep 12, 17",-0.13912630579297244
2017-09-13,36.34,36.67,36.28,36.55,25732242,25732242,0.29,0.8,36.4914,"Sep 13, 17",-0.13224121557454893
2017-09-14,36.6,36.6,36.22,36.32,17884117,17884117,-0.23,-0.629,36.3785,"Sep 14, 17",-0.137701804368471
2017-09-15,36.41,37.11,36.39,37.1,47942916,47942916,0.78,2.148,36.8026,"Sep 15, 17",-0.11918328584995243
2017-09-18,37.11,37.5,37.02,37.42,31974306,31974306,0.32,0.863,37.2765,"Sep 18, 17",-0.11158594491927816
2017-09-19,37.41,38.44,37.269,38.21,46319957,46319957,0.79,2.111,38.0494,"Sep 19, 17",-0.0928300094966761
2017-09-20,38.32,38.735,38.215,38.43,26869206,26869206,0.22,0.576,38.4575,"Sep 20, 17",-0.08760683760683756
2017-09-21,38.5,38.54,38.14,38.22,16781231,16781231,-0.21,-0.546,38.2529,"Sep 21, 17",-0.09259259259259256
2017-09-22,38.4,38.65,38.21,38.59,23212623,23212623,0.37,0.968,38.4951,"Sep 22, 17",-0.08380816714150034
2017-09-25,38.53,39.19,38.5,39.12,36179101,36179101,0.53,1.373,39.025,"Sep 25, 17",-0.07122507122507123
2017-09-26,39.12,39.31,38.7,38.72,22605912,22605912,-0.4,-1.022,38.8998,"Sep 26, 17",-0.08072174738841402
2017-09-27,38.63,38.91,38.51,38.77,23768508,23768508,0.05,0.129,38.7232,"Sep 27, 17",-0.07953466286799607
2017-09-28,38.68,39.17,38.59,39.04,17368873,17368873,0.27,0.696,38.9567,"Sep 28, 17",-0.07312440645773975
2017-09-29,38.95,39.22,38.81,39.17,21961431,21961431,0.13,0.333,39.0753,"Sep 29, 17",-0.07003798670465328
2017-10-02,39.2,39.31,39.07,39.11,15604301,15604301,-0.06,-0.153,39.191,"Oct 2, 17",-0.07146248812915475
2017-10-03,39.19,39.48,39.09,39.48,16067551,16067551,0.37,0.946,39.3554,"Oct 3, 17",-0.0626780626780627
2017-10-04,39.37,39.66,39.245,39.5,17913250,17913250,0.02,0.051,39.5156,"Oct 4, 17",-0.06220322886989548
2017-10-05,39.61,39.8,39.4,39.51,22606241,22606241,0.01,0.025,39.5829,"Oct 5, 17",-0.061965811965811954
2017-10-06,38.84,39.05,38.54,38.59,22431894,22431894,-0.92,-2.329,38.6873,"Oct 6, 17",-0.08380816714150034
2017-10-09,38.65,38.67,38.15,38.3,19247893,19247893,-0.29,-0.751,38.3144,"Oct 9, 17",-0.09069325735992403
2017-10-10,38.35,38.61,38.27,38.5,17317456,17317456,0.2,0.522,38.4712,"Oct 10, 17",-0.08594491927825255
2017-10-11,38.52,38.61,38.05,38.19,26978001,26978001,-0.31,-0.805,38.2619,"Oct 11, 17",-0.0933048433048433
2017-10-12,37.49,37.53,35.83,35.86,81976416,81976416,-2.33,-6.101,36.4272,"Oct 12, 17",-0.14862298195631526
2017-10-13,35.84,36.04,35.25,35.7,56085354,56085354,-0.16,-0.446,35.6799,"Oct 13, 17",-0.15242165242165231
2017-10-16,35.82,36.45,35.75,36.17,31097057,31097057,0.47,1.317,36.1218,"Oct 16, 17",-0.14126305792972452
2017-10-17,36.17,36.29,35.99,36.23,21663555,21663555,0.06,0.166,36.1126,"Oct 17, 17",-0.1398385565052232
2017-10-18,36.23,36.28,35.51,35.71,36764776,36764776,-0.52,-1.435,35.7835,"Oct 18, 17",-0.15218423551756877
2017-10-19,35.93,36.33,35.59,35.69,32887368,32887368,-0.02,-0.056,35.838,"Oct 19, 17",-0.152659069325736
2017-10-20,35.79,35.84,35.4,35.54,37835452,37835452,-0.15,-0.42,35.513,"Oct 20, 17",-0.15622032288698953
2017-10-23,35.42,35.66,35.19,35.25,30902268,30902268,-0.29,-0.816,35.3768,"Oct 23, 17",-0.16310541310541304
